epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.5402,2.13348,4.02057,1.9282,0.00279,0.31325,0.03793,0.01106,1.74041,3.69565,1.76018,0.00010003,0.00010003,0.00010003
2,13.9576,1.7284,3.51548,1.58818,0.00463,0.56162,0.14135,0.06649,1.30825,3.37374,1.26667,0.000213289,0.000213289,0.000213289
3,18.4778,1.54738,2.76032,1.40733,0.00468,0.52342,0.20501,0.12728,1.26883,3.29015,1.29585,0.000325416,0.000325416,0.000325416
4,21.2217,1.48144,2.23267,1.37269,0.79546,0.28571,0.29263,0.17888,1.21924,3.12843,1.27029,0.000436412,0.000436412,0.000436412
5,23.9535,1.41935,1.97087,1.33725,0.95636,0.11158,0.39477,0.24147,1.26925,2.97619,1.27372,0.000546275,0.000546275,0.000546275
6,26.5992,1.40115,1.8527,1.3222,0.88603,0.10784,0.37887,0.22678,1.27748,2.87595,1.35611,0.000655007,0.000655007,0.000655007
7,29.1862,1.35686,1.7488,1.31564,0.88021,0.21569,0.44437,0.28583,1.31091,2.74075,1.39232,0.000762607,0.000762607,0.000762607
8,31.7652,1.39669,1.72686,1.32854,0.83396,0.27284,0.4994,0.30088,1.29408,2.5429,1.39223,0.000869076,0.000869076,0.000869076
9,34.3353,1.37139,1.68706,1.31663,0.90807,0.21128,0.47407,0.28483,1.39808,2.74907,1.44428,0.000974412,0.000974412,0.000974412
10,36.852,1.33127,1.56094,1.28142,0.9518,0.14615,0.42092,0.23462,1.44927,2.88535,1.48127,0.00107862,0.00107862,0.00107862
11,39.3942,1.39716,1.54615,1.33038,0.85645,0.14276,0.36307,0.20887,1.4668,2.91972,1.49008,0.00118169,0.00118169,0.00118169
12,41.974,1.36283,1.51888,1.32001,0.62445,0.27519,0.23643,0.1477,1.48282,2.71857,1.60048,0.00128363,0.00128363,0.00128363
13,44.586,1.36867,1.49905,1.2999,0.1555,0.21457,0.1095,0.04972,1.77055,3.23785,1.90025,0.00134412,0.00134412,0.00134412
14,47.1646,1.41017,1.50462,1.32662,0.42582,0.47457,0.42419,0.20297,1.85384,2.39855,2.0293,0.00133704,0.00133704,0.00133704
15,49.7399,1.34218,1.36547,1.29312,0.54382,0.28886,0.3371,0.18168,1.55232,2.69981,1.60955,0.00132997,0.00132997,0.00132997
16,52.2608,1.38085,1.4451,1.30718,0.34433,0.17459,0.1779,0.09523,1.7437,2.72278,1.70748,0.0013229,0.0013229,0.0013229
17,54.8237,1.36733,1.36455,1.31603,0.60273,0.44154,0.45136,0.24006,1.58245,2.16619,1.70171,0.00131582,0.00131582,0.00131582
18,57.4036,1.30809,1.31188,1.29315,0.63265,0.62612,0.65985,0.37095,1.43777,1.64132,1.50745,0.00130875,0.00130875,0.00130875
19,59.9513,1.32202,1.30453,1.28155,0.63576,0.51632,0.56913,0.31777,1.50071,1.96163,1.62017,0.00130168,0.00130168,0.00130168
20,62.5263,1.31036,1.2618,1.27468,0.55249,0.59998,0.57305,0.3568,1.33953,1.6609,1.42025,0.0012946,0.0012946,0.0012946
21,65.0261,1.27423,1.21701,1.25359,0.52608,0.34416,0.3712,0.22653,1.50164,2.3867,1.53053,0.00128753,0.00128753,0.00128753
22,67.5607,1.28881,1.17724,1.25107,0.45127,0.65747,0.57779,0.35627,1.40001,2.31431,1.48415,0.00128046,0.00128046,0.00128046
23,70.1416,1.26168,1.17672,1.25257,0.64807,0.62828,0.63821,0.40014,1.34252,1.67732,1.42853,0.00127338,0.00127338,0.00127338
24,72.6417,1.26969,1.12783,1.24279,0.49955,0.59874,0.53845,0.30308,1.4163,2.20664,1.469,0.00126631,0.00126631,0.00126631
25,75.1577,1.26579,1.131,1.25184,0.57414,0.53433,0.57664,0.35579,1.32832,1.87223,1.37625,0.00125923,0.00125923,0.00125923
26,77.6622,1.25258,1.08078,1.24645,0.74605,0.68311,0.75196,0.46767,1.29898,1.24689,1.34434,0.00125216,0.00125216,0.00125216
27,80.1836,1.26952,1.06317,1.23891,0.58658,0.64486,0.63327,0.38616,1.39495,1.6762,1.40175,0.00124509,0.00124509,0.00124509
28,82.7191,1.23308,1.07624,1.23312,0.67632,0.51699,0.58734,0.33905,1.45457,1.91595,1.46871,0.00123801,0.00123801,0.00123801
29,85.3321,1.21685,1.02114,1.21521,0.70885,0.7443,0.74008,0.44527,1.32074,1.36204,1.3431,0.00123094,0.00123094,0.00123094
30,87.8452,1.22528,1.04965,1.2145,0.6986,0.67199,0.72165,0.4448,1.3196,1.48346,1.35894,0.00122387,0.00122387,0.00122387
31,90.3342,1.23062,1.01229,1.21368,0.7223,0.67738,0.70744,0.44362,1.34518,1.67378,1.37729,0.00121679,0.00121679,0.00121679
32,92.8293,1.20035,1.01184,1.20541,0.70202,0.67693,0.69332,0.41574,1.31981,1.62299,1.34471,0.00120972,0.00120972,0.00120972
33,95.3088,1.21608,1.03019,1.23205,0.75218,0.57974,0.68303,0.40033,1.43614,1.3279,1.44451,0.00120265,0.00120265,0.00120265
34,97.8039,1.17406,0.98403,1.18694,0.72113,0.66921,0.73818,0.44249,1.31768,1.25226,1.30524,0.00119557,0.00119557,0.00119557
35,100.332,1.20066,0.9872,1.21116,0.65274,0.66099,0.659,0.42345,1.23311,1.29036,1.28193,0.0011885,0.0011885,0.0011885
36,102.833,1.22107,0.96772,1.20287,0.7341,0.7372,0.7605,0.48268,1.27267,1.1633,1.3021,0.00118143,0.00118143,0.00118143
37,105.395,1.21925,0.9897,1.208,0.65458,0.66158,0.70628,0.43163,1.32487,1.63831,1.34706,0.00117435,0.00117435,0.00117435
38,107.88,1.1973,0.98505,1.21056,0.7916,0.72454,0.82028,0.53832,1.21587,1.19197,1.27224,0.00116728,0.00116728,0.00116728
39,110.394,1.12897,0.9284,1.16917,0.80797,0.76124,0.79518,0.52457,1.20202,1.01457,1.27256,0.00116021,0.00116021,0.00116021
40,112.858,1.16051,0.91662,1.1835,0.78864,0.77228,0.8171,0.53457,1.17591,0.98877,1.26502,0.00115313,0.00115313,0.00115313
41,115.344,1.1583,0.91226,1.20053,0.7897,0.75716,0.80786,0.52478,1.19516,1.08741,1.27245,0.00114606,0.00114606,0.00114606
42,117.83,1.15773,0.88383,1.17481,0.78056,0.77959,0.81706,0.5378,1.21061,1.04448,1.28035,0.00113898,0.00113898,0.00113898
43,120.318,1.14294,0.87538,1.17553,0.80642,0.83052,0.83381,0.53396,1.22788,0.8858,1.28655,0.00113191,0.00113191,0.00113191
44,122.793,1.13167,0.88913,1.16375,0.83154,0.76927,0.84729,0.55326,1.22898,0.91718,1.26807,0.00112484,0.00112484,0.00112484
